Type,Make,Color,Sticker
Sedan,Honda,White,F
SUV,Subaru,Black,F
Sedan,Toyota,Red,F
Sedan,Toyota,Red,F
Sedan,Honda,Red,F
SUV,Buick,Blue,F
SUV,Buick,Black,F
Sedan,Saturn,Pink,T
Sedan,Buick,Red,T
Sedan,Saturn,Blue,F
Sedan,Saturn,Blue,T
Truck,Chevy,Blue,F
Sedan,Saturn,Blue,T
Truck,Chevy,White,F
Sedan,Chevy,Red,F
SUV,Hyundai,Purple,F
Truck,Chevy,Red,F
Sedan,Honda,Purple,T
Van,Honda,White,T
Sedan,Cadillac,White,T
SUV,Jeep,Black,F
Sedan,Honda,Green,F
SUV,Saturn,Black,F
Sedan,Honda,Green,F
Sedan,Cadillac,Blue,F
SUV,Jeep,Purple,F
SUV,Jeep,Black,F
Van,Honda,Purple,T
Truck,Chevy,White,T
SUV,Cadillac,Gold,F
Sedan,Dodge,Blue,F
Sedan,Chrysler,Red,F
Sedan,Chevy,Red,F
Truck,Chevy,Blue,F
SUV,Jeep,Black,F
Sedan,Chrysler,Black,F
SUV,Jeep,Red,F
SUV,Jeep,White,F
SUV,Saturn,Blue,F
SUV,Jeep,Green,F
Sedan,Saturn,Pink,F
Sedan,Chevy,Gold,F
Sedan,Honda,Black,T
Sedan,Ford,Blue,F
Truck,Ford,White,T
SUV,Hyundai,Red,T
Truck,Ford,Red,F
Sedan,Cadillac,Silver,F
Sedan,Chevy,Silver,F
Truck,Chevy,Grey,F
Truck,Ford,Silver,F
SUV,Jeep,Grey,F
Sedan,Ford,Blue,F
SUV,Jeep,Grey,F
Sedan,Chevy,Green,F
Sedan,Honda,Grey,F
Sedan,Cadillac,Silver,T
Truck,Chevy,Red,F
Sedan,Saturn,Red,F
Sedan,Honda,Blue,F
Sedan,Ford,Black,T
Sedan,Audi,White,F
Sedan,BMW,Green,F
Sedan,Acura,Silver,F
Truck,Ford,Silver,T
Sedan,Audi,Silver,F
SUV,Jeep,Blue,F
SUV,Jeep,White,F
SUV,Buick,Grey,F
Sedan,Mazda,Black,F
Sedan,BMW,Black,F
Sedan,Ford,Blue,F
Sedan,Audi,Green,F
Truck,Ford,Grey,F
Sedan,Audi,Grey,T
Van,Honda,White,T
Sedan,Saturn,Silver,F
Sedan,Saturn,Grey,F
Truck,Ford,Silver,F
Sedan,Acura,Purple,T
Truck,Ford,Green,T
SUV,Jeep,Blue,T
SUV,Cadillac,Silver,F
Sedan,Chevy,Silver,F
Sedan,Ford,Black,F
Truck,Chevy,Red,F
Truck,Ford,Red,F
Sedan,Audi,Red,T
SUV,Mazda,Blue,F
Sedan,Chevy,Red,F
Truck,Ford,Silver,F
SUV,Saturn,Silver,T
Sedan,Ford,Red,T
Sedan,Audi,Silver,F
SUV,BMW,Blue,F
Sedan,Saturn,Red,F
Sedan,Cadillac,White,F
SUV,Cadillac,Silver,F
Van,Ford,White,F
Sedan,Chevy,Silver,F
